"Time","Points:0","Points:1","Points:2","U:0","U:1","U:2","alpha.water","p_rgh"
0,0,0,0,0.5,0,0.8,0,0.36
0,0.012696,0,0,0.5,0,0.8,0,0.36
0,0.025391,0,0,0.5,0,0.8,0,0.36
0,0.038087,0,0,0.5,0,0.8,0,0.36
0,0.050783,0,0,0.5,0,0.8,0,0.36
0,0.063478,0,0,0.5,0,0.8,0,0.36
0,0.076174,0,0,0.5,0,0.8,0,0.36
0,0.08887,0,0,0.5,0,0.8,0,0.36
0,0.10157,0,0,0.5,0,0.8,0,0.36
0,0.11426,0,0,0.5,0,0.8,0,0.36
0,0.12696,0,0,0.5,0,0.8,0,0.36
0,0.13965,0,0,0.5,0,0.8,0,0.36
0,0.15235,0,0,0.5,0,0.8,0,0.36
0,0.16504,0,0,0.5,0,0.8,0,0.36
0,0.17774,0,0,0.5,0,0.8,0,0.36
0,0.19043,0,0,0.5,0,0.8,0,0.36
0,0.20313,0,0,0.5,0,0.8,0,0.36
0,0.21583,0,0,0.5,0,0.8,0,0.36
0,0.22852,0,0,0.5,0,0.8,0,0.36
0,0.24122,0,0,0.5,0,0.8,0,0.36
0,0.25391,0,0,0.5,0,0.8,0,0.36
0,0.26661,0,0,0.5,0,0.8,0,0.36
0,0.2793,0,0,0.5,0,0.8,0,0.36
0,0.292,0,0,0.5,0,0.8,0,0.36
0,0,0.0059999,0,0.5,0,0.8,0,0.36
0,0.012696,0.0059999,0,0.5,0,0.8,0,0.36
0,0.025391,0.0059999,0,0.5,0,0.8,0,0.36
0,0.038087,0.0059999,0,0.5,0,0.8,0,0.36
0,0.050783,0.0059999,0,0.5,0,0.8,0,0.36
0,0.063478,0.0059999,0,0.5,0,0.8,0,0.36
0,0.076174,0.0059999,0,0.5,0,0.8,0,0.36
0,0.08887,0.0059999,0,0.5,0,0.8,0,0.36
0,0.10157,0.0059999,0,0.5,0,0.8,0,0.36
0,0.11426,0.0059999,0,0.5,0,0.8,0,0.36
0,0.12696,0.0059999,0,0.5,0,0.8,0,0.36
0,0.13965,0.0059999,0,0.5,0,0.8,0,0.36
0,0.15235,0.0059999,0,0.5,0,0.8,0,0.36
0,0.16504,0.0059999,0,0.5,0,0.8,0,0.36
0,0.17774,0.0059999,0,0.5,0,0.8,0,0.36
0,0.19043,0.0059999,0,0.5,0,0.8,0,0.36
0,0.20313,0.0059999,0,0.5,0,0.8,0,0.36
0,0.21583,0.0059999,0,0.5,0,0.8,0,0.36
0,0.22852,0.0059999,0,0.5,0,0.8,0,0.36
0,0.24122,0.0059999,0,0.5,0,0.8,0,0.36
0,0.25391,0.0059999,0,0.5,0,0.8,0,0.36
0,0.26661,0.0059999,0,0.5,0,0.8,0,0.36
0,0.2793,0.0059999,0,0.5,0,0.8,0,0.36
0,0.292,0.0059999,0,0.5,0,0.8,0,0.36
0,0,0.012,0,0.5,0,0.8,0,0.36
0,0.012696,0.012,0,0.5,0,0.8,0,0.36
0,0.025391,0.012,0,0.5,0,0.8,0,0.36
0,0.038087,0.012,0,0.5,0,0.8,0,0.36
0,0.050783,0.012,0,0.5,0,0.8,0,0.36
0,0.063478,0.012,0,0.5,0,0.8,0,0.36
0,0.076174,0.012,0,0.5,0,0.8,0,0.36
0,0.08887,0.012,0,0.5,0,0.8,0,0.36
0,0.10157,0.012,0,0.5,0,0.8,0,0.36
0,0.11426,0.012,0,0.5,0,0.8,0,0.36
0,0.12696,0.012,0,0.5,0,0.8,0,0.36
0,0.13965,0.012,0,0.5,0,0.8,0,0.36
0,0.15235,0.012,0,0.5,0,0.8,0,0.36
0,0.16504,0.012,0,0.5,0,0.8,0,0.36
0,0.17774,0.012,0,0.5,0,0.8,0,0.36
0,0.19043,0.012,0,0.5,0,0.8,0,0.36
0,0.20313,0.012,0,0.5,0,0.8,0,0.36
0,0.21583,0.012,0,0.5,0,0.8,0,0.36
0,0.22852,0.012,0,0.5,0,0.8,0,0.36
0,0.24122,0.012,0,0.5,0,0.8,0,0.36
0,0.25391,0.012,0,0.5,0,0.8,0,0.36
0,0.26661,0.012,0,0.5,0,0.8,0,0.36
0,0.2793,0.012,0,0.5,0,0.8,0,0.36
0,0.292,0.012,0,0.5,0,0.8,0,0.36
0,0,0.018,0,0.5,0,0.8,0,0.36
0,0.012696,0.018,0,0.5,0,0.8,0,0.36
0,0.025391,0.018,0,0.5,0,0.8,0,0.36
0,0.038087,0.018,0,0.5,0,0.8,0,0.36
0,0.050783,0.018,0,0.5,0,0.8,0,0.36
0,0.063478,0.018,0,0.5,0,0.8,0,0.36
0,0.076174,0.018,0,0.5,0,0.8,0,0.36
0,0.08887,0.018,0,0.5,0,0.8,0,0.36
0,0.10157,0.018,0,0.5,0,0.8,0,0.36
0,0.11426,0.018,0,0.5,0,0.8,0,0.36
0,0.12696,0.018,0,0.5,0,0.8,0,0.36
0,0.13965,0.018,0,0.5,0,0.8,0,0.36
0,0.15235,0.018,0,0.5,0,0.8,0,0.36
0,0.16504,0.018,0,0.5,0,0.8,0,0.36
0,0.17774,0.018,0,0.5,0,0.8,0,0.36
0,0.19043,0.018,0,0.5,0,0.8,0,0.36
0,0.20313,0.018,0,0.5,0,0.8,0,0.36
0,0.21583,0.018,0,0.5,0,0.8,0,0.36
0,0.22852,0.018,0,0.5,0,0.8,0,0.36
0,0.24122,0.018,0,0.5,0,0.8,0,0.36
0,0.25391,0.018,0,0.5,0,0.8,0,0.36
0,0.26661,0.018,0,0.5,0,0.8,0,0.36
0,0.2793,0.018,0,0.5,0,0.8,0,0.36
0,0.292,0.018,0,0.5,0,0.8,0,0.36
0,0,0.023999,0,0.5,0,0.8,0,0.36
0,0.012696,0.023999,0,0.5,0,0.8,0,0.36
0,0.025391,0.023999,0,0.5,0,0.8,0,0.36
0,0.038087,0.023999,0,0.5,0,0.8,0,0.36
0,0.050783,0.023999,0,0.5,0,0.8,0,0.36
0,0.063478,0.023999,0,0.5,0,0.8,0,0.36
0,0.076174,0.023999,0,0.5,0,0.8,0,0.36
0,0.08887,0.023999,0,0.5,0,0.8,0,0.36
0,0.10157,0.023999,0,0.5,0,0.8,0,0.36
0,0.11426,0.023999,0,0.5,0,0.8,0,0.36
0,0.12696,0.023999,0,0.5,0,0.8,0,0.36
0,0.13965,0.023999,0,0.5,0,0.8,0,0.36
0,0.15235,0.023999,0,0.5,0,0.8,0,0.36
0,0.16504,0.023999,0,0.5,0,0.8,0,0.36
0,0.17774,0.023999,0,0.5,0,0.8,0,0.36
0,0.19043,0.023999,0,0.5,0,0.8,0,0.36
0,0.20313,0.023999,0,0.5,0,0.8,0,0.36
0,0.21583,0.023999,0,0.5,0,0.8,0,0.36
0,0.22852,0.023999,0,0.5,0,0.8,0,0.36
0,0.24122,0.023999,0,0.5,0,0.8,0,0.36
0,0.25391,0.023999,0,0.5,0,0.8,0,0.36
0,0.26661,0.023999,0,0.5,0,0.8,0,0.36
0,0.2793,0.023999,0,0.5,0,0.8,0,0.36
0,0.292,0.023999,0,0.5,0,0.8,0,0.36
0,0,0.029999,0,0.5,0,0.8,0,0.36
0,0.012696,0.029999,0,0.5,0,0.8,0,0.36
