Time,x,y,Ux,Ux,h,hTotal,hUx,hUy
1,0,0,0.099997,0,0.01,0.01,0.001,-0.0000000075298
1,0.05,0,0.099996,0,0.01,0.01,0.001,-0.000000031351
1,0.1,0,0.099996,0,0.01,0.01,0.001,-0.000000053863
1,0.15,0,0.099997,0,0.01,0.01,0.001,-0.000000060639
1,0.2,0,0.099998,0,0.01,0.01,0.001,-0.000000060725
1,0.25,0,0.1,0,0.01,0.01,0.001,-0.000000055354
1,0.3,0,0.10001,0,0.01,0.01,0.0010001,-0.000000020585
1,0.35,0,0.10002,0,0.0099996,0.0099996,0.0010002,0.000000092896
1,0.4,0,0.10004,0,0.0099981,0.0099981,0.0010002,0.00000033968
1,0.45,0,0.10006,0,0.0099959,0.0099959,0.0010002,0.00000071676
1,0.5,0,0.10007,0,0.0099935,0.0099935,0.001,0.0000011262
1,0.55,0,0.10004,0,0.0099917,0.0099917,0.00099961,0.0000014269
1,0.6,0,0.10001,0,0.0099911,0.0099911,0.00099916,0.000001506
1,0.65,0,0.099969,0,0.0099918,0.0099918,0.00099887,0.0000013468
1,0.7,0,0.09995,0,0.0099935,0.0099935,0.00099884,0.0000010372
1,0.75,0,0.099948,0,0.0099954,0.0099954,0.00099902,0.00000069943
1,0.8,0,0.099958,0,0.0099971,0.0099971,0.00099929,0.00000041634
1,0.85,0,0.099972,0,0.0099984,0.0099984,0.00099956,0.00000021532
1,0.9,0,0.099985,0,0.0099992,0.0099992,0.00099977,0.000000085902
1,0.95,0,0.099998,0,0.0099997,0.0099997,0.00099995,-0.000000011692
1,1,0,0.10001,-0.0000029676,0.0099999,0.0099999,0.001,-0.000000059352
1,0,0.05,0.099997,0,0.01,0.01,0.001,0
1,0.05,0.05,0.099997,-0.0000019676,0.01,0.01,0.001,-0.000000019677
1,0.1,0.05,0.099997,-0.0000037038,0.01,0.01,0.001,-0.000000037039
1,0.15,0.05,0.099997,-0.0000042399,0.01,0.01,0.001,-0.000000042401
1,0.2,0.05,0.099998,-0.0000042522,0.01,0.01,0.001,-0.000000042523
1,0.25,0.05,0.1,-0.0000027295,0.01,0.01,0.0010001,-0.000000027296
1,0.3,0.05,0.10001,0.0000065719,0.0099999,0.0099999,0.0010001,0.000000065713
1,0.35,0.05,0.10004,0.000036258,0.0099987,0.0099987,0.0010002,0.00000036248
1,0.4,0.05,0.10007,0.000098424,0.0099963,0.0099963,0.0010004,0.00000098368
1,0.45,0.05,0.1001,0.00018758,0.009993,0.009993,0.0010003,0.000001874
1,0.5,0.05,0.1001,0.00027866,0.0099897,0.0099897,0.00099997,0.000002783
1,0.55,0.05,0.10006,0.00034279,0.0099874,0.0099874,0.00099937,0.0000034227
1,0.6,0.05,0.1,0.00035799,0.0099867,0.0099867,0.00099869,0.0000035743
1,0.65,0.05,0.099946,0.00032068,0.0099879,0.0099879,0.00099825,0.0000032021
1,0.7,0.05,0.099917,0.00024956,0.0099903,0.0099903,0.0009982,0.0000024927
1,0.75,0.05,0.099917,0.00017163,0.0099931,0.0099931,0.00099848,0.0000017148
1,0.8,0.05,0.099934,0.00010586,0.0099956,0.0099956,0.0009989,0.000001058
1,0.85,0.05,0.099956,0.000058913,0.0099975,0.0099975,0.0009993,0.00000058893
1,0.9,0.05,0.099974,0.000029054,0.0099987,0.0099987,0.00099961,0.00000029048
1,0.95,0.05,0.09999,0.0000084097,0.0099994,0.0099994,0.00099984,0.000000084086
1,1,0.05,0.099995,-0.00000099742,0.01,0.01,0.00099995,-0.0000000099742
1,0,0.1,0.099998,0,0.01,0.01,0.001,0
1,0.05,0.1,0.099998,-0.0000022164,0.01,0.01,0.001,-0.000000022165
1,0.1,0.1,0.099997,-0.0000043751,0.01,0.01,0.001,-0.000000043752
1,0.15,0.1,0.099998,-0.0000054194,0.01,0.01,0.001,-0.000000054195
1,0.2,0.1,0.1,-0.0000056883,0.01,0.01,0.001,-0.000000056885
1,0.25,0.1,0.10001,0.00000023687,0.01,0.01,0.0010001,0.0000000023665
1,0.3,0.1,0.10005,0.000032065,0.0099987,0.0099987,0.0010003,0.00000032056
1,0.35,0.1,0.10011,0.00012541,0.0099953,0.0099953,0.0010006,0.0000012531
1,0.4,0.1,0.10019,0.0003009,0.0099895,0.0099895,0.0010009,0.0000030048
1,0.45,0.1,0.10024,0.0005221,0.0099829,0.0099829,0.0010007,0.0000052101
1,0.5,0.1,0.10022,0.00072237,0.0099774,0.0099774,0.00099994,0.0000072048
1,0.55,0.1,0.10012,0.000854,0.0099741,0.0099741,0.00099864,0.0000085151
1,0.6,0.1,0.099984,0.00088311,0.0099734,0.0099734,0.00099718,0.0000088047
1,0.65,0.1,0.099861,0.00079684,0.0099755,0.0099755,0.00099617,0.0000079463
1,0.7,0.1,0.0998,0.00062874,0.00998,0.00998,0.00099601,0.0000062728
1,0.75,0.1,0.099804,0.000439,0.0099854,0.0099854,0.00099659,0.0000043825
1,0.8,0.1,0.099845,0.00027492,0.0099905,0.0099905,0.0009975,0.000002746
1,0.85,0.1,0.099895,0.00015576,0.0099943,0.0099943,0.00099839,0.0000015565
1,0.9,0.1,0.099936,0.000079624,0.0099969,0.0099969,0.00099906,0.00000079593
1,0.95,0.1,0.099963,0.00003001,0.0099987,0.0099987,0.0009995,0.00000030004
1,1,0.1,0.099967,0.000008863,0.01,0.01,0.00099967,0.00000008863
1,0,0.15,0.099999,0,0.01,0.01,0.001,0
1,0.05,0.15,0.099999,-0.0000043548,0.01,0.01,0.001,-0.000000043548
1,0.1,0.15,0.099998,-0.0000080224,0.01,0.01,0.001,-0.000000080225
1,0.15,0.15,0.099998,-0.000010562,0.01,0.01,0.001,-0.00000010562
1,0.2,0.15,0.1,-0.000010799,0.01,0.01,0.0010001,-0.00000010799
1,0.25,0.15,0.10004,0.0000095408,0.0099992,0.0099992,0.0010003,0.00000009537
1,0.3,0.15,0.10014,0.00010221,0.0099952,0.0099952,0.0010009,0.0000010212
