time,x,y,Ux,Uy,h,hTotal,hUx,hUy
1,0,0,0.099997,0,0.01,0.01,0.001,-7.53E-09
1,0.05,0,0.099996,0,0.01,0.01,0.001,-3.14E-08
1,0.1,0,0.099996,0,0.01,0.01,0.001,-5.39E-08
1,0.15,0,0.099997,0,0.01,0.01,0.001,-6.06E-08
1,0.2,0,0.099998,0,0.01,0.01,0.001,-6.07E-08
1,0.25,0,0.1,0,0.01,0.01,0.001,-5.54E-08
1,0.3,0,0.10001,0,0.01,0.01,0.0010001,-2.06E-08
1,0.35,0,0.10002,0,0.0099996,0.0099996,0.0010002,9.29E-08
1,0.4,0,0.10004,0,0.0099981,0.0099981,0.0010002,3.40E-07
1,0.45,0,0.10006,0,0.0099959,0.0099959,0.0010002,7.17E-07
1,0.5,0,0.10007,0,0.0099935,0.0099935,0.001,1.13E-06
1,0.55,0,0.10004,0,0.0099917,0.0099917,0.00099961,1.43E-06
1,0.6,0,0.10001,0,0.0099911,0.0099911,0.00099916,1.51E-06
1,0.65,0,0.099969,0,0.0099918,0.0099918,0.00099887,1.35E-06
1,0.7,0,0.09995,0,0.0099935,0.0099935,0.00099884,1.04E-06
1,0.75,0,0.099948,0,0.0099954,0.0099954,0.00099902,6.99E-07
1,0.8,0,0.099958,0,0.0099971,0.0099971,0.00099929,4.16E-07
1,0.85,0,0.099972,0,0.0099984,0.0099984,0.00099956,2.15E-07
1,0.9,0,0.099985,0,0.0099992,0.0099992,0.00099977,8.59E-08
1,0.95,0,0.099998,0,0.0099997,0.0099997,0.00099995,-1.17E-08
1,1,0,0.10001,-2.97E-06,0.0099999,0.0099999,0.001,-5.94E-08
1,0,0.05,0.099997,0,0.01,0.01,0.001,0
1,0.05,0.05,0.099997,-1.97E-06,0.01,0.01,0.001,-1.97E-08
1,0.1,0.05,0.099997,-3.70E-06,0.01,0.01,0.001,-3.70E-08
1,0.15,0.05,0.099997,-4.24E-06,0.01,0.01,0.001,-4.24E-08
1,0.2,0.05,0.099998,-4.25E-06,0.01,0.01,0.001,-4.25E-08
1,0.25,0.05,0.1,-2.73E-06,0.01,0.01,0.0010001,-2.73E-08
1,0.3,0.05,0.10001,6.57E-06,0.0099999,0.0099999,0.0010001,6.57E-08
1,0.35,0.05,0.10004,3.63E-05,0.0099987,0.0099987,0.0010002,3.62E-07
1,0.4,0.05,0.10007,9.84E-05,0.0099963,0.0099963,0.0010004,9.84E-07
1,0.45,0.05,0.1001,0.00018758,0.009993,0.009993,0.0010003,1.87E-06
1,0.5,0.05,0.1001,0.00027866,0.0099897,0.0099897,0.00099997,2.78E-06
1,0.55,0.05,0.10006,0.00034279,0.0099874,0.0099874,0.00099937,3.42E-06
1,0.6,0.05,0.1,0.00035799,0.0099867,0.0099867,0.00099869,3.57E-06
1,0.65,0.05,0.099946,0.00032068,0.0099879,0.0099879,0.00099825,3.20E-06
1,0.7,0.05,0.099917,0.00024956,0.0099903,0.0099903,0.0009982,2.49E-06
1,0.75,0.05,0.099917,0.00017163,0.0099931,0.0099931,0.00099848,1.71E-06
1,0.8,0.05,0.099934,0.00010586,0.0099956,0.0099956,0.0009989,1.06E-06
1,0.85,0.05,0.099956,5.89E-05,0.0099975,0.0099975,0.0009993,5.89E-07
1,0.9,0.05,0.099974,2.91E-05,0.0099987,0.0099987,0.00099961,2.90E-07
1,0.95,0.05,0.09999,8.41E-06,0.0099994,0.0099994,0.00099984,8.41E-08
1,1,0.05,0.099995,-9.97E-07,0.01,0.01,0.00099995,-9.97E-09
1,0,0.1,0.099998,0,0.01,0.01,0.001,0
